SCORE,TEXT,_ID,_REV
3,RT @MikeOlbinski: Nice shot man! https://t.co/oOwOYMhl45,90a717dce2a7a6a4bed090c518642908,1-9c8812dcc12c099841e64cd51d87598b
0,#health Your 'Microbial Cloud' Is As Unique As Your Fingerprints: Every person emits a unique blend of m... http://t.co/Nx5rHlgDvA #news,45ec9a30aebb1425f437cdef5bd5a622,1-1ce8ee4848aa67d8b694f33c75a57599
0,http://t.co/sINB3kM98H ShowDrive aims to combine broadcast DVR with cloud storage http://t.co/ztdgM5SDEq 【PCWORLD】,8a763a890ce1101c1f42f2ff03820cba,1-7673d9035efa5fce8abd5604cb86c387
6,RT https://t.co/GPgu4Yvhbu gemma_lily: Last sunset in Nice #nice #nicefrance #france #skyscape #skystagram #cloud… https://t.co/aJarz5giSk,34cbba8d0f84e476d610166e9c6397f4,1-f1b2d6bbb0f63cbb7e73277028446a12
0,Wi-Fi Cloud-Based Marketing Platforms: who is who? http://t.co/4Y6ozK52Ut,34cbba8d0f84e476d610166e9c63be0c,1-f2bf6cdda3755c90509746a09db4859f
0,RT @CruInnerCity: "Reading burns more calories than watching TV"- Dr. Henry Cloud,0c1ac9933271c678eddd3f9a464285ea,1-7e89312f5cf857172d4c09dcf5c3711b
2,RT @EarnKnowledge: This is what a Lenticular cloud over Mount Fuji looks like. http://t.co/21xXQeXWEb,90a717dce2a7a6a4bed090c5186cb78e,1-acde317cddf712a61fe3f4edf6ad64cf
0,An #Security Manager at a Data Center provider joined #DataCenter and #Cloud Marketplace! https://t.co/nDuszjEREt #datacentre,cd5a496a954dfe52e1a328c771b6b086,1-3966184e107d24e95e1023154010775d
0,RT @MasinElij: Energy is transferable! If you hang with someone that has a dark cloud above them, the rain will get you eventually.,a059ae73f14ff6ca2baac97caca5bdc8,1-5a38f8f89c4e0654fbf448edc8b33e93
0,Cloud Computing with Linux is now on sale for 1114.99 at Amazon. https://t.co/hPtZALXe8a,cd5a496a954dfe52e1a328c771b6e776,1-df3dea6e122494021ab67de92afbd3b1
2,RT @Mythmatix420: Wear designer denim once dude and you'll feel the difference. Shits feel like you're wearing a cloud. Quality too. I've h…,90a717dce2a7a6a4bed090c5186df1ed,1-b842a72d21bd15d94f59d7fe8b5da271
0,I just hope that I make the right decisions and don't allow someone to try to cloud my judgement with guilt (ever again),9ad688976d4e6263c06aac86bf3a78bd,1-673ab9d04d6dbde67d3d4426376746a1
0,Gostei de um vídeo @YouTube de @brksedu http://t.co/g5stBq4iT1 GANHAMOS UM HEADSET ROSA?! (HyperX Cloud II),cd5a496a954dfe52e1a328c771b74cfd,1-c4719910cca7493b0e6a5157e3555020
0,Gostei de um vídeo @YouTube de @brksedu http://t.co/AWC0Hr5S1n GANHAMOS UM HEADSET ROSA?! (HyperX Cloud II),0c1ac9933271c678eddd3f9a46464199,1-9ca7967246acc90a6da00ced1acc7b30
0,Gostei de um vídeo @YouTube de @brksedu http://t.co/OzoSbLHqDZ GANHAMOS UM HEADSET ROSA?! (HyperX Cloud II),0c1ac9933271c678eddd3f9a4646567d,1-d457541565ceb94d123b14101bf777b1
0,https://t.co/7ifeQYlEcf,0c1ac9933271c678eddd3f9a46466171,1-0aa1c15d63f9952838a18acc18b818a6
0,Shooting and cloud! @ Valli del Pasubio https://t.co/YjHP0bEYrl,0c1ac9933271c678eddd3f9a46466cb8,1-11f61ddd20554f0e3e2d95029800bccb
0,#alternativemedicine Every person emits a unique blend of microbes into the air, and this "microbial cloud" is...  http://t.co/XOsluq16Qj,45ec9a30aebb1425f437cdef5bdce171,1-8b09178338156a463667164396892b69
2,RT @SPM_Artwork: http://t.co/So7qD2dIbH #art #popart #artist #horror #corrupt #SNRTG #cloud #heaven #tax #satan #fineart #artwork  http://t…,a059ae73f14ff6ca2baac97caca7b267,1-bdf2ca917c0d8ffa7bd18a2e989eda82
0,RT @EricTopol: Your own personal #microbiome cloud https://t.co/SK6x1I7bCM did you know you had one? :-) @thePeerJ http://t.co/z13UXtBQFa,9ad688976d4e6263c06aac86bf3dffeb,1-e11c16ee9aee98725f166bedebbb8ee6
0,Oracle se encuentra en el primer tiempo de juego del #Cloud http://t.co/JmmVmO2OeH,9ad688976d4e6263c06aac86bf3ebfca,1-ce20a1679f9b255732b01cb3b0a27527
-5,RT @hannahjwaters: My updated list of daily meditations: "Nothing matters." "You will die broken, alone and with nothing." "You are a cloud…,39a8829af51c5874783e669a4a7f5521,1-ba0d303cf1dc99d22fdb8a1231e37cd4
0,Gostei de um vídeo @YouTube de @brksedu http://t.co/5vTRrmAHci GANHAMOS UM HEADSET ROSA?! (HyperX Cloud II),39a8829af51c5874783e669a4a8062f1,1-b766864f48ac2113c9ba0b3f8ceedcad
0,Rencontrer nos Spécialistes #Cloud Stand #8 - Salon @CQCD_express #ecommerce - 1er Octobre 2015 au Palais des Congrè…https://t.co/hq6mdWnQ83,34cbba8d0f84e476d610166e9c6cf2ad,1-1ffd6b3380d6de136f4f38c88e91246b
2,RT @Mythmatix420: Wear designer denim once dude and you'll feel the difference. Shits feel like you're wearing a cloud. Quality too. I've h…,34cbba8d0f84e476d610166e9c6f0a8a,1-b842a72d21bd15d94f59d7fe8b5da271
7,Want to see a word cloud of our most popular blog headlines from 2015? Well here it is anyway. Examples FTW it seems http://t.co/jVtRhO0oII,39a8829af51c5874783e669a4a823f41,1-b7f517c1e610b5eec52201e3d4bc45dd
3,#Families #Vote4Hillary to want Strong #Family in #Georgia #Tucker - http://t.co/8HTegtkW3N,25f65eaccd4371fc7edb5360cde52a3b,1-a58a5f0659b5c09794e150fcd8f56fa9
4,RT @SPM_Artwork: http://t.co/jbE2mA6Ueo #art #popart #artist #painting #cloud #redheads #sexy #lady #artwork #fineart #woman #pretty  http:…,cd5a496a954dfe52e1a328c771c09122,1-92f9216a16ab24f2c8c837edba6d4343
3,IBM Helps Make "Bring Your Own" Cloud Apps Safe for Work - Yahoo Finance #IBM http://t.co/8WsFcNtFM9,9ad688976d4e6263c06aac86bf42d0db,1-f5a1f7ae0f5baac39309cda8930f1f25
2,RT @TheDrakeOKC: Guaranteed to make any day better... Lemon Cloud Pie! #staygold for lunch today and don't skip #dessert ! http://t.co/6OGs…,90a717dce2a7a6a4bed090c5187ae566,1-770a6159dba278df48e7704b94fc4a59
0,.@Citrix @XenServer Tech Preview.  New features &amp; functionality for server, desktop &amp; cloud use cases. http://t.co/7m8E55We4w,25f65eaccd4371fc7edb5360cde66cb9,1-e9c0acbcbab61366b5ca385f9b2f7a81
2,How ummm comforting.  People emit a unique "microbial cloud" of bacteria, study finds - CBS News http://t.co/Hc0vVGqpBU,a059ae73f14ff6ca2baac97cacdfeec1,1-1940f6ff0c960d3155de24006f69a2ee
0,People emit a unique "microbial cloud" of bacteria http://t.co/EXKEkQdUTu,e26d5d10f91561e81e3777efe0df4b95,1-46c4065560bb1171f47be628736c0563
0,RT @MasinElij: Energy is transferable! If you hang with someone that has a dark cloud above them, the rain will get you eventually.,cd5a496a954dfe52e1a328c771c3693a,1-5a38f8f89c4e0654fbf448edc8b33e93
0,I PROVE MY POINT!  👊 https://t.co/4Jp4ZYIazS,0c1ac9933271c678eddd3f9a465284f9,1-adae4bcc23091a349cfa1350acc7a622
-5,RT @hannahjwaters: My updated list of daily meditations: "Nothing matters." "You will die broken, alone and with nothing." "You are a cloud…,34cbba8d0f84e476d610166e9c756286,1-ba0d303cf1dc99d22fdb8a1231e37cd4
0,RT @247razz: Mysterious iridescent cloud phenomenon seen over Costa Rica http://t.co/FI0TT3cdat,9ad688976d4e6263c06aac86bf4740a8,1-4491f3c5e5e20121ddb10f559b70a05f
0,#GoHuskiesWooo https://t.co/NKDPDto6hm,0c1ac9933271c678eddd3f9a46556174,1-5fddc4d94495ac62964145c3d9f27bf8
0,"Cloud, replication, archiving or backups, organisations need some sort of backup and recovery strategy in place"
https://t.co/rQHiswBaB5,9ad688976d4e6263c06aac86bf4a99b0,1-5b8099044e2b72ccdd3e6baf73d4ef18
0,Via @NPR: Wherever You Go, Your Personal Cloud Of Microbes Follows http://t.co/LDqfOqYAtV,39a8829af51c5874783e669a4a8b8ee1,1-a6b2aeaa74a49da9120aa7ccb1946071
0,New post: People emit a unique “microbial cloud” of bacteria http://t.co/qAi8ryf0GB,cd5a496a954dfe52e1a328c771cafadb,1-54bfb2850a6b5fdb8e8d0b807c6a3c08
0,we can now be "fingerprinted" by our personal bacterial cloud https://t.co/T0PkszZlgP,34cbba8d0f84e476d610166e9c7c151f,1-65970570f540df761fa10651040f4c09
0,RT @hopefulcyborg: @da_667 hello from the cloud forge ☁️,8a763a890ce1101c1f42f2ff039fa2b0,1-56ac3062ea398fb880b93f27ab76d267
2,RT @Huawei: Over 10,000 attendees explored opportunities &amp; challenges in the #cloud era at #HCC2015: http://t.co/vPoRg4QycN http://t.co/D0f…,9ad688976d4e6263c06aac86bf4f2b3c,1-0986e12b3e087bb4e78da6c69514eb24
0,The 'Pig-Pen' in each of us: People emit their own personal microbial cloud - http://t.co/aWuO7GFqkj,39a8829af51c5874783e669a4a8e0fb2,1-1ad6684ec6bcb407448915c2dff138aa
0,Office 2016 review: Microsoft makes mobile-first cloud-first a reality http://t.co/BsqPSUWTlC http://t.co/8A8Jjn17tr,25f65eaccd4371fc7edb5360cdef8bfc,1-03cc03527784ef6af709be42a6707e03
0,RT @microbiology: According to new research, humans emit a cloud of microbes that's unique to each person. Read more here: http://t.co/RSZV…,25f65eaccd4371fc7edb5360cdefb083,1-247ee639832fad55610db507722085aa
0,.@HP’s Meg Whitman is one of the 7 Biggest Risers on This Year's Talkin' Cloud 100. #HPProud http://t.co/D1K833AKfJ,a059ae73f14ff6ca2baac97cacf01966,1-78c9b2443c8bc914fe1ae249eb41b0a8
3,#Vote4Hillary #HillaryClinton to want Strong #Families in #Arkansas Foreman - http://t.co/iMK5Q681qP,0c1ac9933271c678eddd3f9a465bdb1e,1-37557b7a9fd3946e62dec73d172a2f6b
0,RT @247razz: Mysterious iridescent cloud phenomenon seen over Costa Rica http://t.co/FI0TT3cdat,e8f187c46c2ea294c173fcab1e101006,1-4491f3c5e5e20121ddb10f559b70a05f
2,RT @EarnKnowledge: This is what a Lenticular cloud over Mount Fuji looks like. http://t.co/21xXQeXWEb,e26d5d10f91561e81e3777efe0e98b11,1-acde317cddf712a61fe3f4edf6ad64cf
0,RT @sukanya_ghoshal: @idevadhikari Met You, Talked with you, got your autograph ! OMG ! I still can't believe !!!! I'm in cloud 9 ! I'm ins…,e8f187c46c2ea294c173fcab1e116725,1-288b7c35ee8d96f4c464884f40f9509a
2,RT @EarnKnowledge: This is what a Lenticular cloud over Mount Fuji looks like. http://t.co/21xXQeXWEb,e26d5d10f91561e81e3777efe0eb651c,1-acde317cddf712a61fe3f4edf6ad64cf
2,Top story from @CRN #BigData Stars Moving Beyond Pre-Season in Federal Cloud - … http://t.co/8ROug7bvKj, see more http://t.co/zbBJaNzwRa,a059ae73f14ff6ca2baac97cacf1a25c,1-ab7c8d0c0e42bd918e1b8653b3af2704
1,RT @IBM_NEWS: IBM Cloud Security Enforcer can now make "bring your own" cloud apps safe for work  http://t.co/1pYGlkNQ2z #CloudEnforcer @IB…,e8f187c46c2ea294c173fcab1e13b08a,1-31fcde7b19b8a0fa9507339ece9c378c
2,RT @EarnKnowledge: This is what a Lenticular cloud over Mount Fuji looks like. http://t.co/21xXQeXWEb,45ec9a30aebb1425f437cdef5bf73b75,1-acde317cddf712a61fe3f4edf6ad64cf
